,Scenario #,Logic Gate #,Logic Gate Description, Terminal Nodes,Terminal Nodes (X#s),Occurrence Probability,Phases
71,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.2","X20, X21, X23, X27, X29, X34",2.175509613721513e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
72,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.3","X20, X21, X23, X27, X29, X35",2.35680206249593e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
73,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.4","X20, X21, X23, X27, X29, X36",1.9942171323144518e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
74,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.5","X20, X21, X23, X27, X29, X37",1.8129246835400348e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
75,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.6","X20, X21, X23, X27, X29, X38",2.9006794740844693e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
76,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.7","X20, X21, X23, X27, X29, X39",2.5380945439029907e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
77,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.1, 1.3.2.6.1.8","X20, X21, X23, X27, X29, X40",2.35680206249593e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
78,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.1","X20, X21, X23, X27, X30, X33",2.1755096137215131e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
79,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.2","X20, X21, X23, X27, X30, X34",2.3732832311504e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
80,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.3","X20, X21, X23, X27, X30, X35",2.571056812980039e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 2.0"
81,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.4","X20, X21, X23, X27, X30, X36",2.1755096137215131e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
82,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.5","X20, X21, X23, X27, X30, X37",1.9777360318918748e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
83,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.6","X20, X21, X23, X27, X30, X38",3.1643776296674504e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
84,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.7","X20, X21, X23, X27, X30, X39",2.768830430408925e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
85,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.2, 1.3.2.6.1.8","X20, X21, X23, X27, X30, X40",2.571056812980039e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
86,S6,1.3,attack component,"1.3.2.1, 1.3.2.2.1, 1.3.2.3.1, 1.3.2.4.2, 1.3.2.5.3, 1.3.2.6.1.1","X20, X21, X23, X27, X31, X33",1.8129246835400348e-07,"2.0, 2.0, 2.0, 2.0, 2.0, 1.0"
